date_iso,date_be_string,day_of_week,is_thai_public_holiday,holiday_name,fiscal_year,fiscal_quarter
2024-12-30,2567-12-30,1,false,,2567,4
2024-12-31,2567-12-31,2,false,,2567,4
2025-01-01,2568-01-01,3,false,,2568,1
2025-01-02,2568-01-02,4,false,,2568,1
2025-01-03,2568-01-03,5,false,,2568,1
2025-01-04,2568-01-04,6,false,,2568,1
2025-01-05,2568-01-05,7,false,,2568,1
2025-01-06,2568-01-06,1,false,,2568,1
2025-01-07,2568-01-07,2,false,,2568,1
2025-01-08,2568-01-08,3,false,,2568,1
2025-01-09,2568-01-09,4,false,,2568,1
2025-01-10,2568-01-10,5,false,,2568,1
2025-01-11,2568-01-11,6,false,,2568,1
2025-01-12,2568-01-12,7,false,,2568,1
2025-01-13,2568-01-13,1,false,,2568,1
2025-01-14,2568-01-14,2,false,,2568,1
2025-01-15,2568-01-15,3,false,,2568,1
2025-01-16,2568-01-16,4,false,,2568,1
2025-01-17,2568-01-17,5,false,,2568,1
2025-01-18,2568-01-18,6,false,,2568,1
2025-01-19,2568-01-19,7,false,,2568,1
2025-01-20,2568-01-20,1,false,,2568,1
2025-01-21,2568-01-21,2,false,,2568,1
2025-01-22,2568-01-22,3,false,,2568,1
2025-01-23,2568-01-23,4,false,,2568,1
2025-01-24,2568-01-24,5,false,,2568,1
2025-01-25,2568-01-25,6,false,,2568,1
2025-01-26,2568-01-26,7,false,,2568,1
2025-01-27,2568-01-27,1,false,,2568,1
2025-01-28,2568-01-28,2,false,,2568,1
2025-01-29,2568-01-29,3,false,,2568,1
2025-01-30,2568-01-30,4,false,,2568,1
2025-01-31,2568-01-31,5,false,,2568,1
2025-02-01,2568-02-01,6,false,,2568,1
2025-02-02,2568-02-02,7,false,,2568,1
2025-02-03,2568-02-03,1,false,,2568,1
2025-02-04,2568-02-04,2,false,,2568,1
2025-02-05,2568-02-05,3,false,,2568,1
2025-02-06,2568-02-06,4,false,,2568,1
2025-02-07,2568-02-07,5,false,,2568,1
2025-02-08,2568-02-08,6,false,,2568,1
2025-02-09,2568-02-09,7,false,,2568,1
2025-02-10,2568-02-10,1,false,,2568,1
2025-02-11,2568-02-11,2,false,,2568,1
2025-02-12,2568-02-12,3,false,,2568,1
2025-02-13,2568-02-13,4,false,,2568,1
2025-02-14,2568-02-14,5,false,,2568,1
2025-02-15,2568-02-15,6,false,,2568,1
2025-02-16,2568-02-16,7,false,,2568,1
2025-02-17,2568-02-17,1,false,,2568,1
2025-02-18,2568-02-18,2,false,,2568,1
2025-02-19,2568-02-19,3,false,,2568,1
2025-02-20,2568-02-20,4,false,,2568,1
2025-02-21,2568-02-21,5,false,,2568,1
2025-02-22,2568-02-22,6,false,,2568,1
2025-02-23,2568-02-23,7,false,,2568,1
2025-02-24,2568-02-24,1,false,,2568,1
2025-02-25,2568-02-25,2,false,,2568,1
2025-02-26,2568-02-26,3,false,,2568,1
2025-02-27,2568-02-27,4,false,,2568,1
2025-02-28,2568-02-28,5,false,,2568,1
2025-03-01,2568-03-01,6,false,,2568,1
2025-03-02,2568-03-02,7,false,,2568,1
2025-03-03,2568-03-03,1,false,,2568,1
2025-03-04,2568-03-04,2,false,,2568,1
2025-03-05,2568-03-05,3,false,,2568,1
2025-03-06,2568-03-06,4,false,,2568,1
2025-03-07,2568-03-07,5,false,,2568,1
2025-03-08,2568-03-08,6,false,,2568,1
2025-03-09,2568-03-09,7,false,,2568,1
2025-03-10,2568-03-10,1,false,,2568,1
2025-03-11,2568-03-11,2,false,,2568,1
2025-03-12,2568-03-12,3,false,,2568,1
2025-03-13,2568-03-13,4,false,,2568,1
2025-03-14,2568-03-14,5,false,,2568,1
2025-03-15,2568-03-15,6,false,,2568,1
2025-03-16,2568-03-16,7,false,,2568,1
2025-03-17,2568-03-17,1,false,,2568,1
2025-03-18,2568-03-18,2,false,,2568,1
2025-03-19,2568-03-19,3,false,,2568,1
2025-03-20,2568-03-20,4,false,,2568,1
2025-03-21,2568-03-21,5,false,,2568,1
2025-03-22,2568-03-22,6,false,,2568,1
2025-03-23,2568-03-23,7,false,,2568,1
2025-03-24,2568-03-24,1,false,,2568,1
2025-03-25,2568-03-25,2,false,,2568,1
2025-03-26,2568-03-26,3,false,,2568,1
2025-03-27,2568-03-27,4,false,,2568,1
2025-03-28,2568-03-28,5,false,,2568,1
2025-03-29,2568-03-29,6,false,,2568,1
2025-03-30,2568-03-30,7,false,,2568,1
2025-03-31,2568-03-31,1,false,,2568,1
2025-04-01,2568-04-01,2,false,,2568,2
2025-04-02,2568-04-02,3,false,,2568,2
2025-04-03,2568-04-03,4,false,,2568,2
2025-04-04,2568-04-04,5,false,,2568,2
2025-04-05,2568-04-05,6,false,,2568,2
2025-04-06,2568-04-06,7,false,,2568,2
2025-04-07,2568-04-07,1,false,,2568,2
2025-04-08,2568-04-08,2,false,,2568,2
2025-04-09,2568-04-09,3,false,,2568,2
2025-04-10,2568-04-10,4,false,,2568,2
2025-04-11,2568-04-11,5,false,,2568,2
2025-04-12,2568-04-12,6,false,,2568,2
2025-04-13,2568-04-13,7,false,,2568,2
2025-04-14,2568-04-14,1,false,,2568,2
2025-04-15,2568-04-15,2,false,,2568,2
2025-04-16,2568-04-16,3,false,,2568,2
2025-04-17,2568-04-17,4,false,,2568,2
2025-04-18,2568-04-18,5,false,,2568,2
2025-04-19,2568-04-19,6,false,,2568,2
2025-04-20,2568-04-20,7,false,,2568,2
2025-04-21,2568-04-21,1,false,,2568,2
2025-04-22,2568-04-22,2,false,,2568,2
2025-04-23,2568-04-23,3,false,,2568,2
2025-04-24,2568-04-24,4,false,,2568,2
2025-04-25,2568-04-25,5,false,,2568,2
2025-04-26,2568-04-26,6,false,,2568,2
2025-04-27,2568-04-27,7,false,,2568,2
2025-04-28,2568-04-28,1,false,,2568,2
2025-04-29,2568-04-29,2,false,,2568,2
2025-04-30,2568-04-30,3,false,,2568,2
2025-05-01,2568-05-01,4,false,,2568,2
2025-05-02,2568-05-02,5,false,,2568,2
2025-05-03,2568-05-03,6,false,,2568,2
2025-05-04,2568-05-04,7,false,,2568,2
2025-05-05,2568-05-05,1,false,,2568,2
2025-05-06,2568-05-06,2,false,,2568,2
2025-05-07,2568-05-07,3,false,,2568,2
2025-05-08,2568-05-08,4,false,,2568,2
2025-05-09,2568-05-09,5,false,,2568,2
2025-05-10,2568-05-10,6,false,,2568,2
2025-05-11,2568-05-11,7,false,,2568,2
2025-05-12,2568-05-12,1,false,,2568,2
2025-05-13,2568-05-13,2,false,,2568,2
2025-05-14,2568-05-14,3,false,,2568,2
2025-05-15,2568-05-15,4,false,,2568,2
2025-05-16,2568-05-16,5,false,,2568,2
2025-05-17,2568-05-17,6,false,,2568,2
2025-05-18,2568-05-18,7,false,,2568,2
2025-05-19,2568-05-19,1,false,,2568,2
2025-05-20,2568-05-20,2,false,,2568,2
2025-05-21,2568-05-21,3,false,,2568,2
2025-05-22,2568-05-22,4,false,,2568,2
2025-05-23,2568-05-23,5,false,,2568,2
2025-05-24,2568-05-24,6,false,,2568,2
2025-05-25,2568-05-25,7,false,,2568,2
2025-05-26,2568-05-26,1,false,,2568,2
2025-05-27,2568-05-27,2,false,,2568,2
2025-05-28,2568-05-28,3,false,,2568,2
2025-05-29,2568-05-29,4,false,,2568,2
2025-05-30,2568-05-30,5,false,,2568,2
2025-05-31,2568-05-31,6,false,,2568,2
2025-06-01,2568-06-01,7,false,,2568,2
2025-06-02,2568-06-02,1,false,,2568,2
2025-06-03,2568-06-03,2,false,,2568,2
2025-06-04,2568-06-04,3,false,,2568,2
2025-06-05,2568-06-05,4,false,,2568,2
2025-06-06,2568-06-06,5,false,,2568,2
2025-06-07,2568-06-07,6,false,,2568,2
2025-06-08,2568-06-08,7,false,,2568,2
2025-06-09,2568-06-09,1,false,,2568,2
2025-06-10,2568-06-10,2,false,,2568,2
2025-06-11,2568-06-11,3,false,,2568,2
2025-06-12,2568-06-12,4,false,,2568,2
2025-06-13,2568-06-13,5,false,,2568,2
2025-06-14,2568-06-14,6,false,,2568,2
2025-06-15,2568-06-15,7,false,,2568,2
2025-06-16,2568-06-16,1,false,,2568,2
2025-06-17,2568-06-17,2,false,,2568,2
2025-06-18,2568-06-18,3,false,,2568,2
2025-06-19,2568-06-19,4,false,,2568,2
2025-06-20,2568-06-20,5,false,,2568,2
2025-06-21,2568-06-21,6,false,,2568,2
2025-06-22,2568-06-22,7,false,,2568,2
2025-06-23,2568-06-23,1,false,,2568,2
2025-06-24,2568-06-24,2,false,,2568,2
2025-06-25,2568-06-25,3,false,,2568,2
2025-06-26,2568-06-26,4,false,,2568,2
2025-06-27,2568-06-27,5,false,,2568,2
2025-06-28,2568-06-28,6,false,,2568,2
2025-06-29,2568-06-29,7,false,,2568,2
2025-06-30,2568-06-30,1,false,,2568,2
2025-07-01,2568-07-01,2,false,,2568,3
2025-07-02,2568-07-02,3,false,,2568,3
2025-07-03,2568-07-03,4,false,,2568,3
2025-07-04,2568-07-04,5,false,,2568,3
2025-07-05,2568-07-05,6,false,,2568,3
2025-07-06,2568-07-06,7,false,,2568,3
2025-07-07,2568-07-07,1,false,,2568,3
2025-07-08,2568-07-08,2,false,,2568,3
2025-07-09,2568-07-09,3,false,,2568,3
2025-07-10,2568-07-10,4,false,,2568,3
2025-07-11,2568-07-11,5,false,,2568,3
2025-07-12,2568-07-12,6,false,,2568,3
2025-07-13,2568-07-13,7,false,,2568,3
2025-07-14,2568-07-14,1,false,,2568,3
2025-07-15,2568-07-15,2,false,,2568,3
2025-07-16,2568-07-16,3,false,,2568,3
2025-07-17,2568-07-17,4,false,,2568,3
2025-07-18,2568-07-18,5,false,,2568,3
2025-07-19,2568-07-19,6,false,,2568,3
2025-07-20,2568-07-20,7,false,,2568,3
2025-07-21,2568-07-21,1,false,,2568,3
2025-07-22,2568-07-22,2,false,,2568,3
2025-07-23,2568-07-23,3,false,,2568,3
2025-07-24,2568-07-24,4,false,,2568,3
2025-07-25,2568-07-25,5,false,,2568,3
2025-07-26,2568-07-26,6,false,,2568,3
2025-07-27,2568-07-27,7,false,,2568,3
2025-07-28,2568-07-28,1,false,,2568,3
2025-07-29,2568-07-29,2,false,,2568,3
2025-07-30,2568-07-30,3,false,,2568,3
2025-07-31,2568-07-31,4,false,,2568,3
2025-08-01,2568-08-01,5,false,,2568,3
2025-08-02,2568-08-02,6,false,,2568,3
2025-08-03,2568-08-03,7,false,,2568,3
2025-08-04,2568-08-04,1,false,,2568,3
2025-08-05,2568-08-05,2,false,,2568,3
2025-08-06,2568-08-06,3,false,,2568,3
2025-08-07,2568-08-07,4,false,,2568,3
2025-08-08,2568-08-08,5,false,,2568,3
2025-08-09,2568-08-09,6,false,,2568,3
2025-08-10,2568-08-10,7,false,,2568,3
2025-08-11,2568-08-11,1,false,,2568,3
2025-08-12,2568-08-12,2,false,,2568,3
2025-08-13,2568-08-13,3,false,,2568,3
2025-08-14,2568-08-14,4,false,,2568,3
2025-08-15,2568-08-15,5,false,,2568,3
2025-08-16,2568-08-16,6,false,,2568,3
2025-08-17,2568-08-17,7,false,,2568,3
2025-08-18,2568-08-18,1,false,,2568,3
2025-08-19,2568-08-19,2,false,,2568,3
2025-08-20,2568-08-20,3,false,,2568,3
2025-08-21,2568-08-21,4,false,,2568,3
2025-08-22,2568-08-22,5,false,,2568,3
2025-08-23,2568-08-23,6,false,,2568,3
2025-08-24,2568-08-24,7,false,,2568,3
2025-08-25,2568-08-25,1,false,,2568,3
2025-08-26,2568-08-26,2,false,,2568,3
2025-08-27,2568-08-27,3,false,,2568,3
2025-08-28,2568-08-28,4,false,,2568,3
2025-08-29,2568-08-29,5,false,,2568,3
2025-08-30,2568-08-30,6,false,,2568,3
2025-08-31,2568-08-31,7,false,,2568,3
2025-09-01,2568-09-01,1,false,,2568,3
2025-09-02,2568-09-02,2,false,,2568,3
2025-09-03,2568-09-03,3,false,,2568,3
2025-09-04,2568-09-04,4,false,,2568,3
2025-09-05,2568-09-05,5,false,,2568,3
2025-09-06,2568-09-06,6,false,,2568,3
2025-09-07,2568-09-07,7,false,,2568,3
2025-09-08,2568-09-08,1,false,,2568,3
2025-09-09,2568-09-09,2,false,,2568,3
2025-09-10,2568-09-10,3,false,,2568,3
2025-09-11,2568-09-11,4,false,,2568,3
2025-09-12,2568-09-12,5,false,,2568,3
2025-09-13,2568-09-13,6,false,,2568,3
2025-09-14,2568-09-14,7,false,,2568,3
2025-09-15,2568-09-15,1,false,,2568,3
2025-09-16,2568-09-16,2,false,,2568,3
2025-09-17,2568-09-17,3,false,,2568,3
2025-09-18,2568-09-18,4,false,,2568,3
2025-09-19,2568-09-19,5,false,,2568,3
2025-09-20,2568-09-20,6,false,,2568,3
2025-09-21,2568-09-21,7,false,,2568,3
2025-09-22,2568-09-22,1,false,,2568,3
2025-09-23,2568-09-23,2,false,,2568,3
2025-09-24,2568-09-24,3,false,,2568,3
2025-09-25,2568-09-25,4,false,,2568,3
2025-09-26,2568-09-26,5,false,,2568,3
2025-09-27,2568-09-27,6,false,,2568,3
2025-09-28,2568-09-28,7,false,,2568,3
2025-09-29,2568-09-29,1,false,,2568,3
2025-09-30,2568-09-30,2,false,,2568,3
2025-10-01,2568-10-01,3,false,,2568,4
2025-10-02,2568-10-02,4,false,,2568,4
2025-10-03,2568-10-03,5,false,,2568,4
2025-10-04,2568-10-04,6,false,,2568,4
2025-10-05,2568-10-05,7,false,,2568,4
2025-10-06,2568-10-06,1,false,,2568,4
2025-10-07,2568-10-07,2,false,,2568,4
2025-10-08,2568-10-08,3,false,,2568,4
2025-10-09,2568-10-09,4,false,,2568,4
2025-10-10,2568-10-10,5,false,,2568,4
2025-10-11,2568-10-11,6,false,,2568,4
2025-10-12,2568-10-12,7,false,,2568,4
2025-10-13,2568-10-13,1,false,,2568,4
2025-10-14,2568-10-14,2,false,,2568,4
2025-10-15,2568-10-15,3,false,,2568,4
2025-10-16,2568-10-16,4,false,,2568,4
2025-10-17,2568-10-17,5,false,,2568,4
2025-10-18,2568-10-18,6,false,,2568,4
2025-10-19,2568-10-19,7,false,,2568,4
2025-10-20,2568-10-20,1,false,,2568,4
2025-10-21,2568-10-21,2,false,,2568,4
2025-10-22,2568-10-22,3,false,,2568,4
2025-10-23,2568-10-23,4,false,,2568,4
2025-10-24,2568-10-24,5,false,,2568,4
2025-10-25,2568-10-25,6,false,,2568,4
2025-10-26,2568-10-26,7,false,,2568,4
2025-10-27,2568-10-27,1,false,,2568,4
2025-10-28,2568-10-28,2,false,,2568,4
2025-10-29,2568-10-29,3,false,,2568,4
2025-10-30,2568-10-30,4,false,,2568,4
2025-10-31,2568-10-31,5,false,,2568,4
2025-11-01,2568-11-01,6,false,,2568,4
2025-11-02,2568-11-02,7,false,,2568,4
2025-11-03,2568-11-03,1,false,,2568,4
2025-11-04,2568-11-04,2,false,,2568,4
2025-11-05,2568-11-05,3,false,,2568,4
2025-11-06,2568-11-06,4,false,,2568,4
2025-11-07,2568-11-07,5,false,,2568,4
2025-11-08,2568-11-08,6,false,,2568,4
2025-11-09,2568-11-09,7,false,,2568,4
2025-11-10,2568-11-10,1,false,,2568,4
2025-11-11,2568-11-11,2,false,,2568,4
2025-11-12,2568-11-12,3,false,,2568,4
2025-11-13,2568-11-13,4,false,,2568,4
2025-11-14,2568-11-14,5,false,,2568,4
2025-11-15,2568-11-15,6,false,,2568,4
2025-11-16,2568-11-16,7,false,,2568,4
2025-11-17,2568-11-17,1,false,,2568,4
2025-11-18,2568-11-18,2,false,,2568,4
2025-11-19,2568-11-19,3,false,,2568,4
2025-11-20,2568-11-20,4,false,,2568,4
2025-11-21,2568-11-21,5,false,,2568,4
2025-11-22,2568-11-22,6,false,,2568,4
2025-11-23,2568-11-23,7,false,,2568,4
2025-11-24,2568-11-24,1,false,,2568,4
2025-11-25,2568-11-25,2,false,,2568,4
2025-11-26,2568-11-26,3,false,,2568,4
2025-11-27,2568-11-27,4,false,,2568,4
2025-11-28,2568-11-28,5,false,,2568,4
2025-11-29,2568-11-29,6,false,,2568,4
2025-11-30,2568-11-30,7,false,,2568,4
2025-12-01,2568-12-01,1,false,,2568,4
2025-12-02,2568-12-02,2,false,,2568,4
2025-12-03,2568-12-03,3,false,,2568,4
2025-12-04,2568-12-04,4,false,,2568,4
2025-12-05,2568-12-05,5,false,,2568,4
2025-12-06,2568-12-06,6,false,,2568,4
2025-12-07,2568-12-07,7,false,,2568,4
2025-12-08,2568-12-08,1,false,,2568,4
2025-12-09,2568-12-09,2,false,,2568,4
2025-12-10,2568-12-10,3,false,,2568,4
2025-12-11,2568-12-11,4,false,,2568,4
2025-12-12,2568-12-12,5,false,,2568,4
2025-12-13,2568-12-13,6,false,,2568,4
2025-12-14,2568-12-14,7,false,,2568,4
2025-12-15,2568-12-15,1,false,,2568,4
2025-12-16,2568-12-16,2,false,,2568,4
2025-12-17,2568-12-17,3,false,,2568,4
2025-12-18,2568-12-18,4,false,,2568,4
2025-12-19,2568-12-19,5,false,,2568,4
2025-12-20,2568-12-20,6,false,,2568,4
2025-12-21,2568-12-21,7,false,,2568,4
2025-12-22,2568-12-22,1,false,,2568,4
2025-12-23,2568-12-23,2,false,,2568,4
2025-12-24,2568-12-24,3,false,,2568,4
2025-12-25,2568-12-25,4,false,,2568,4
2025-12-26,2568-12-26,5,false,,2568,4
2025-12-27,2568-12-27,6,false,,2568,4
2025-12-28,2568-12-28,7,false,,2568,4
2025-12-29,2568-12-29,1,false,,2568,4
2025-12-30,2568-12-30,2,false,,2568,4
2025-12-31,2568-12-31,3,false,,2568,4
